iter	Accuracy	MultiClass
0	0.707852194	2.153246926
1	0.8129330254	1.971125109
2	0.8036951501	1.867772788
3	0.8071593533	1.752486923
4	0.8140877598	1.640622633
5	0.8198614319	1.5750694
6	0.8545034642	1.450870331
7	0.8406466513	1.383769454
8	0.8787528868	1.298848285
9	0.9053117783	1.225282934
10	0.9110854503	1.162185114
11	0.9249422633	1.100695005
12	0.9295612009	1.044719116
13	0.9387990762	0.9993465949
14	0.9457274827	0.9647087662
15	0.9422632794	0.931231271
16	0.9515011547	0.8953180257
17	0.9434180139	0.8610313966
18	0.9422632794	0.8283841189
19	0.9434180139	0.8059779155
20	0.9434180139	0.7728076236
21	0.9422632794	0.7420647384
22	0.9434180139	0.7219650627
23	0.9434180139	0.6987897572
24	0.9399538106	0.6796995893
25	0.9387990762	0.6608513365
26	0.9503464203	0.6402786708
27	0.9434180139	0.6161373707
28	0.9526558891	0.5979797819
29	0.954965358	0.5839945798
30	0.954965358	0.5618441253
31	0.9572748268	0.5455266123
32	0.9584295612	0.5315683297
33	0.9584295612	0.5175512026
34	0.9595842956	0.5063332266
35	0.9595842956	0.4939527959
36	0.9584295612	0.4816709686
37	0.96073903	0.4688143902
38	0.96073903	0.4602337179
39	0.96073903	0.4504722082
40	0.96073903	0.4410512731
41	0.9595842956	0.4328060034
42	0.9595842956	0.4250626452
43	0.9595842956	0.4178120161
44	0.96073903	0.4089866198
45	0.96073903	0.3997485745
46	0.96073903	0.3935385261
47	0.96073903	0.3871836498
48	0.96073903	0.3789284594
49	0.96073903	0.3742324305
50	0.96073903	0.3654420231
51	0.96073903	0.3606645965
52	0.96073903	0.3549186525
53	0.96073903	0.3498847587
54	0.96073903	0.3445163108
55	0.96073903	0.3369129318
56	0.96073903	0.3309526929
57	0.96073903	0.3260302799
58	0.9595842956	0.3213355155
59	0.96073903	0.319607583
60	0.9595842956	0.3149707133
61	0.9618937644	0.3120101699
62	0.9618937644	0.306570418
63	0.9618937644	0.3034787731
64	0.9630484988	0.2981054726
65	0.9630484988	0.2934251981
66	0.9630484988	0.2904410666
67	0.9642032333	0.2856562809
68	0.9642032333	0.2840207852
69	0.9642032333	0.2826999015
70	0.9642032333	0.2797016999
71	0.9642032333	0.2757277912
72	0.9653579677	0.2743041142
73	0.9665127021	0.2707868831
74	0.9665127021	0.2677493983
75	0.9665127021	0.2646402903
76	0.9653579677	0.2624712575
77	0.9653579677	0.2603195266
78	0.9688221709	0.2588349504
79	0.9676674365	0.2563225906
80	0.9699769053	0.2539936038
81	0.9699769053	0.252803872
82	0.9688221709	0.2517019852
83	0.9688221709	0.2502383191
84	0.9688221709	0.2487019056
85	0.9711316397	0.2455260634
86	0.9722863741	0.2436657971
87	0.9711316397	0.2421804218
88	0.9711316397	0.2410142976
89	0.9711316397	0.2399232105
90	0.9722863741	0.2384653472
91	0.9734411085	0.2358766746
92	0.9734411085	0.2347577627
93	0.9734411085	0.2336552231
94	0.9734411085	0.231820366
95	0.9734411085	0.2310523596
96	0.974595843	0.2300894616
97	0.974595843	0.2282359268
98	0.9734411085	0.2270028313
99	0.9757505774	0.224002414
100	0.9757505774	0.2233535681
101	0.9757505774	0.2225314537
102	0.9757505774	0.2213406994
103	0.9757505774	0.2202757867
104	0.9780600462	0.2177963819
105	0.9780600462	0.2169260717
106	0.9780600462	0.2161636591
107	0.9780600462	0.2153296765
108	0.9792147806	0.2141841905
109	0.9780600462	0.213287099
110	0.9780600462	0.2123186502
111	0.9792147806	0.2095314594
112	0.980369515	0.2070988118
113	0.980369515	0.2048004123
114	0.9826789838	0.2023888
115	0.9826789838	0.2016397345
116	0.980369515	0.1995478912
117	0.9826789838	0.1988093236
118	0.9849884527	0.1974267024
