iter	Passed	Remaining
0	59	59277
1	70	35311
2	78	26228
3	86	21537
4	94	18793
5	102	16933
6	110	15615
7	118	14635
8	125	13814
9	133	13215
10	140	12671
11	149	12269
12	156	11871
13	164	11550
14	171	11252
15	178	10956
16	185	10720
17	192	10493
18	200	10341
19	206	10138
20	213	9956
21	220	9822
22	227	9673
23	235	9570
24	242	9458
25	250	9368
26	257	9285
27	265	9225
28	273	9142
29	281	9087
30	288	9015
31	296	8962
32	303	8901
33	311	8837
34	318	8790
35	326	8735
36	333	8688
37	341	8647
38	349	8616
39	357	8571
40	365	8540
41	372	8499
42	380	8473
43	387	8428
44	395	8392
45	402	8346
46	410	8321
47	418	8297
48	425	8261
49	433	8243
50	441	8208
51	448	8170
52	455	8136
53	462	8106
54	469	8071
55	476	8033
56	483	8006
57	491	7976
58	497	7941
59	504	7908
60	511	7877
61	518	7845
62	525	7813
63	531	7778
64	538	7747
65	545	7718
66	552	7688
67	558	7659
68	565	7629
69	572	7606
70	579	7578
71	586	7553
72	592	7528
73	599	7501
74	605	7473
75	612	7447
76	620	7434
77	628	7430
78	635	7414
79	643	7401
80	653	7409
81	660	7399
82	668	7385
83	675	7361
84	682	7349
85	690	7335
86	696	7312
87	703	7293
88	710	7272
89	718	7260
90	725	7242
91	732	7227
92	739	7214
93	747	7200
94	754	7192
95	762	7176
96	770	7171
97	776	7148
98	785	7146
99	792	7134
100	800	7123
101	809	7122
102	815	7104
103	822	7086
104	829	7069
105	836	7053
106	843	7035
107	853	7045
108	861	7043
109	869	7032
110	876	7017
111	883	7003
112	890	6990
113	897	6975
114	905	6967
115	911	6949
116	919	6938
117	926	6922
118	933	6910
119	936	6870
120	943	6855
121	950	6843
122	958	6833
123	965	6818
124	972	6804
125	979	6791
126	986	6783
127	993	6769
128	1000	6755
129	1007	6740
130	1014	6726
131	1021	6715
132	1028	6701
133	1035	6690
134	1042	6678
135	1049	6668
136	1056	6655
137	1063	6644
138	1070	6633
139	1078	6622
140	1085	6612
141	1092	6599
142	1099	6587
143	1106	6578
144	1113	6568
145	1122	6563
146	1129	6554
147	1136	6543
148	1144	6535
149	1151	6522
150	1157	6510
151	1164	6497
152	1171	6485
153	1178	6472
154	1184	6459
155	1191	6447
156	1198	6435
157	1205	6423
158	1212	6412
159	1219	6402
160	1226	6390
161	1233	6379
162	1240	6367
163	1246	6356
164	1253	6343
165	1261	6336
166	1267	6324
167	1274	6312
168	1281	6302
169	1288	6292
170	1295	6280
171	1302	6270
172	1309	6258
173	1316	6248
174	1325	6248
175	1332	6238
176	1340	6231
177	1347	6222
178	1354	6214
179	1362	6205
180	1370	6199
181	1377	6191
182	1385	6186
183	1393	6177
184	1400	6169
185	1408	6162
186	1415	6154
187	1423	6146
188	1430	6139
189	1438	6133
190	1445	6123
191	1452	6113
192	1459	6102
193	1466	6091
194	1473	6081
195	1480	6071
196	1487	6062
197	1494	6053
198	1501	6043
199	1508	6034
200	1515	6023
201	1522	6015
202	1531	6011
203	1539	6006
204	1547	6001
205	1555	5995
206	1563	5990
207	1571	5984
208	1579	5977
209	1587	5971
210	1594	5964
211	1602	5957
212	1610	5951
213	1619	5946
214	1626	5938
215	1634	5931
216	1641	5924
217	1649	5917
218	1657	5909
219	1665	5906
220	1673	5897
221	1680	5889
222	1687	5878
223	1694	5870
224	1701	5862
225	1709	5854
226	1717	5847
227	1723	5836
228	1731	5828
229	1738	5820
230	1746	5815
231	1754	5807
232	1761	5800
233	1769	5792
234	1777	5785
235	1784	5777
236	1791	5767
237	1798	5759
238	1806	5751
239	1814	5747
240	1822	5739
241	1828	5728
242	1836	5721
243	1844	5713
244	1851	5705
245	1859	5698
246	1868	5695
247	1875	5687
248	1882	5677
249	1889	5669
250	1896	5660
251	1904	5652
252	1911	5644
253	1919	5637
254	1926	5629
255	1934	5621
256	1942	5615
257	1949	5606
258	1957	5599
259	1964	5590
260	1972	5584
261	1979	5575
262	1986	5567
263	1995	5563
264	2003	5556
265	2011	5550
266	2018	5542
267	2026	5536
268	2034	5528
269	2041	5520
270	2049	5512
271	2057	5505
272	2064	5497
273	2072	5490
274	2079	5481
275	2086	5473
276	2094	5465
277	2101	5457
278	2109	5451
279	2116	5443
280	2124	5436
281	2132	5429
282	2140	5423
283	2148	5415
284	2156	5409
285	2163	5400
286	2170	5392
287	2177	5383
288	2185	5377
