iter	Passed	Remaining
0	63	63446
1	66	33035
2	68	22826
3	71	17766
4	74	14734
5	76	12682
6	78	11176
7	81	10055
8	83	9194
9	85	8484
10	87	7890
11	89	7403
12	92	7001
13	94	6648
14	96	6350
15	98	6085
16	101	5844
17	103	5646
18	105	5457
19	107	5281
20	109	5124
21	112	4981
22	114	4851
23	116	4730
24	118	4622
25	120	4522
26	122	4431
27	125	4343
28	127	4259
29	129	4187
30	131	4115
31	133	4048
32	136	3985
33	138	3933
34	140	3876
35	142	3826
36	145	3782
37	147	3733
38	149	3687
39	151	3646
40	154	3607
41	156	3568
42	158	3529
43	160	3494
44	162	3457
45	165	3428
46	167	3395
47	169	3367
48	172	3339
49	174	3315
50	176	3288
51	178	3262
52	181	3237
53	183	3214
54	185	3188
55	187	3165
56	189	3142
57	192	3121
58	194	3101
59	196	3079
60	198	3058
61	200	3039
62	202	3019
63	205	3000
64	207	2983
65	209	2966
66	211	2949
67	213	2932
68	216	2917
69	218	2900
70	220	2885
71	222	2869
72	224	2854
73	227	2840
74	229	2826
75	231	2812
76	233	2799
77	235	2785
78	237	2771
79	239	2751
80	241	2739
81	243	2728
82	245	2715
83	248	2704
84	250	2692
85	252	2681
86	254	2669
87	256	2659
88	258	2648
89	260	2637
90	262	2626
91	265	2616
92	267	2606
93	269	2595
94	271	2585
95	273	2577
96	275	2569
97	278	2560
98	280	2552
99	282	2543
100	284	2535
101	287	2527
102	289	2518
103	291	2511
104	293	2505
105	296	2498
106	298	2491
107	300	2483
108	302	2476
109	305	2469
110	307	2462
111	309	2454
112	311	2447
113	313	2440
114	316	2432
115	318	2425
116	320	2418
117	322	2410
118	324	2402
119	326	2395
120	328	2388
121	330	2380
122	332	2373
123	335	2367
124	337	2360
125	339	2354
126	341	2348
127	343	2341
128	346	2336
129	348	2330
130	350	2324
131	352	2318
132	354	2312
133	356	2306
134	358	2299
135	361	2294
136	363	2288
137	365	2283
138	367	2279
139	370	2273
140	372	2267
141	374	2261
142	376	2256
143	378	2250
144	380	2245
145	382	2239
146	385	2234
147	387	2229
148	389	2224
149	391	2219
150	393	2214
151	395	2209
152	397	2203
153	400	2198
154	402	2193
155	404	2188
156	406	2183
157	408	2178
158	410	2173
159	412	2167
160	415	2163
161	417	2158
162	419	2153
163	421	2148
164	423	2143
165	425	2139
166	427	2134
167	430	2129
168	432	2125
169	434	2120
170	436	2115
171	438	2110
172	440	2105
173	442	2101
174	444	2097
175	447	2092
176	449	2088
177	451	2083
178	453	2079
179	455	2074
180	457	2070
181	459	2066
182	461	2062
183	464	2058
184	466	2054
185	468	2050
186	470	2045
187	472	2041
188	474	2037
189	477	2033
190	479	2029
191	481	2025
192	483	2021
193	485	2017
194	487	2012
195	489	2009
196	491	2005
197	494	2001
198	496	1997
199	498	1993
200	500	1989
201	502	1986
202	504	1982
203	507	1978
204	509	1974
205	511	1971
206	513	1967
207	515	1963
208	517	1960
209	520	1956
210	522	1953
211	524	1949
212	526	1945
213	528	1942
214	530	1938
